Tweets	partition	Topics
obama spread direct contact bodily fluid patient showing symptom live update	train	0
woke morning finx	train	0
fashola inspects isolation ward prepared patient showing symptom ebola urge prompt report	train	0
ebola n spotlight climate change africa summit continent face unprecedented outbreak disease	train	0
ebola spread community human human transmission infection result broken skin mucous membrane	train	0
symptom may allah save country	train	0
op ed contributor grip ebola liberia leader first quarantined reporting disease	train	0
readme airborne day quarantine contagious w symptom unprotected nurse lying	train	0
nurse rip quarantine policy treatment airport	train	0
ebola treatment people ebola treatment involves providing relief ebola symptom body	train	0
wow pentagon employee went infected area amp show sign	train	0
r fabulous job amp v r proud question tb impact lung organ also	train	0
michael osterholm center infectious disease research amp policy possibility ebola become airborne	train	0
ebola virus disease deadly preventable get fact protect via	train	0
far beyond presidency amp politics kind person allows disease come country uh lawsuit	train	0
many fool trying label healthy respect deadly disease panic common sense	train	0
u built ebola treatment center reportedly sit empty liberia	train	0
second drug allowed treatment ebola	train	0
good question white house play role cdc delay response	train	0
spotlight emerging infectious disease journal	train	0
alert disease spreading india need guard	train	0
airport ask near someone ebola symptom basing test peopl	train	0
second dallas nurse took flight passenger day showing symptom	train	0
officially declares ended transmission within border	train	0
penn vet research may lead future treatment deadly ebola virus	train	0
long football player named ebola valid question	train	0
texas man traveled west africa last week isolation showing symptom	train	0
new post ontario hospital treating nigerian passenger ebola like symptom	train	0
question response affect legacy	train	0
airport staff must trained way world shout st ask question later	train	0
nigeria dynamic health minister onyebuchi chukwu contained resigns	train	0
fort worth doctor kent brantly grows stronger every day ebola treatment	train	0
video ebola drug pose ethic question	train	0
doctor question cdc guidance ebola patient	train	0
wow cdc investigating nd infected nurse showing symptom flew ohio day earlier tha	train	0
life would hav better people preach word god dem dey give attention ebola spread salt water treatment	train	0
second american ebola patient arrives treatment second two american stricken ebola	train	0
ebola question wondering question responded	train	0
obama bringing infected foreigner america treatment	train	0
main construct primary prevention creating awareness preventive measure contact tracing surveillance	train	0
ontario hospital treat patient ebola like symptom hospital ontario ca via	train	0
question concern starting pm call get phone bank web chat	train	0
another woman diagnosed ebola virus disease nnpc clinic facility sh ff	train	0
amazing hear news successful experimental treatment two people virus	train	0
saturday lecture series disease primer	train	0
cure prevention ebola drink petroleum bathe	train	0
tell amber vinson called tell temp symptom amp said could b	train	0
pres sirleaf yesterday announced response treatment training salary food	train	0
disease carrier liberian patrick sawyer urinated health worker told	train	0
big question outbreak answered	train	0
page hospital canada patient visited nigeria brought flu like symptom	train	0
cdc updated infection control guidance u hospital treatment suspected patient	train	0
woman perth assessed ebola returning west africa suffering symptom virus	train	0
plane carrying british army medic arrived sierra leone help run treatment centre official confirm	train	0
learn epidemiology pathogenesis amp clinical manifestation disease	train	0
symptom picture knowledge power share friend	train	0
detail pentagon send engineer amp logistical specialist help build treatment center	train	0
canada sending dos experimental vaccine switzerland trial treatment	train	0
believe trending stfu yet worried amp neither r disease likely get	train	0
reason mandate dallas hospital staff exposed quarantined hospital amp start pretreatment cont	train	0
ebola stricken missionary becomes first person brought europe treatment	train	0
happy salt day one misinformed ebola prevention method	train	0
staff brief pilgrim w info prevention prior departure lagos airport	train	0
basic explained read summary need know amp answer key question	train	0
omg please stop talking ask question	train	0
three generation goddess getting full veneffect treatment co bar woodland	train	0
follow trend tomorrow pm pm feel free ask question ebola cc	train	0
aid worker question government slow response ebola crisis	train	0
liberia managed pas mmia arriving liberia apparently displaying symptom full blown ebola disease	train	0
q amp w corruption permanent stain soul	train	0
ebola outbreak put cdc high alert reuters director center disease co	train	0
thetrent breaking news dead hospitalised high salt consumption ebola prevention	train	0
ebola sign symptom amp prevention tip	train	0
breaking news anonymous doctor release treatment ebola virus	train	0
dr anthony fauci director national institute allergy infectious disease	train	0
year old woman nigerian descent evaluated complaining symptom	train	0
africa health system struggle cope disease kill thousand	train	0
virus question answered center disease control cdc source national institute	train	0
u need get flu shot er like symptom give er break get shot	train	0
even question ameer abdullah	train	0
live chat end pm ask expert question	train	0
need know need get info ebola disease	train	0
nobody immune ebola virus spread message prevention cure wash hand often possible	train	0
virus know symptom	train	0
real suspect question cady heron	train	0
question afraid ask vox	train	0
world health organization frequently asked question virus disease	train	0
check yesterday w answering question available storify	train	0
official anthony fauci md answer question explains virus spread stopped	train	0
difficult issue perspective awful scourge many african still die disease gt http	train	0
ebola pastor e adeboye speaks gistreel lagos report second case deadly ebola disease pasto	train	0
maybe worthy reminder minority include people questionable reason	train	0
ebola patient flew day symptom	train	0
nigerian news alert taiwan raise travel warning nigeria ebola outbreak center disease cont	train	0
monitored ebola symptom ohio	train	0
first symptom headache myalgia fatigue fever many viral infection	train	0
man tested nyc hospital disease via	train	0
bbc news fear factor ebola concern disease	train	0
cdc ebola question answer	train	0
liberia say na pipo wey get ebola virus disease dey miss jagidijagan pipo go scatter heleth centre de carry dem keep	train	0
read drink rumoured salt water ebola cure	train	0
first american die disease	train	0
person infectious symptom appear	train	0
nigerian ask zmapp disease secret cure twitter hashtag	train	0
question cdc protocol via	train	0
ebola outbreak overview	train	0
budget cut delayed vaccine treatment http	train	0
southwestern college lock due student family member flu like symptom rpts student vomiting class unconfirmed	train	0
despite early sign ordinary outbreak aid lagged amp went data	train	0
ebola disease played plague inc shit going die probably greenland	train	0
doctor office screening questionnaire thank	train	0
subscribe youtube page everything	train	0
dozen flock new liberia ebola treatment center new liberia ebola treatment center receives	train	0
breaking news ebola patient discharged certified symptom free day blood test resu	train	0
ebola airborne disease amp cdc know think people intermingling w	train	0
get inequitable population destroys ecosystem leading abject poverty war disease	train	0
symptom show local er would call local er give head first yes	train	0
girl loyal sharp sharp ai breakup bf gf contact ebola	train	0
prudent political temporarily suspend travel infected country called prevention	train	0
patient last traveled liberia new patient isolation w ebola like symptom	train	0
school treatment disease agriculture outbreak dramatically affect everything	train	0
argument shld b worried disease like cancer taleb call empiricism idiot htt	train	0
rule engagement troop sacrifice ask question	train	0
authority two patient extensive contact man died disease	train	0
bring patient u treatment	train	0
asked question ebola answer	train	0
ebola jaunty feel good name ruined giving disease	train	0
opino juris today ebola changed rural virus urban disease became much easier disease reach epidemic level	train	0
risk virus arriving eu eliminated transmission stop west africa	train	0
scientist pioneered idea producing vaccine plant boldness treatment love	train	0
dr fukuda country transmission head state declare national emergency emergency committee	train	0
illegal migrant scared get treatment	train	0
ebola outbreak part africa serious may almighty protect u disease aameen	train	0
ebola saudi arabian man dy saudi man treated ebola like symptom died hospita	train	0
nurse nationwide made clear response ready disease	train	0
cdc nd dallas health care worker flew monday night reporting symptom	train	0
second nurse got ebola flew day symptom happened observation handling	train	0
risk catching ebola via	train	0
enjoyed meeting lovely team today thanks great question campaign	train	0
amber second nurse infected took flight one day reporting symptom	train	0
chaired cobr secure link new york uk leading international drive awful disease	train	0
liked video bat transmit many disease like ebola	train	0
disease undermines foundation long standing tradition	train	0
disease want tag along ebola spread usa inevitable sayscdc	train	0
wellness update sign symptom cc	train	0
woman treated ebola like symptom sir charles gairdner hospital	train	0
happy salt day may god save u frm dis filthy disease called ebola	train	0
said nd hosp worker plane even symptom b c treated	train	0
one question sanity	train	0
nope ebola airborne disease	train	0
smh trent breaking news dead hospitalised high salt consumption ebola prevention	train	0
sign liberian capital monrovia densely populated urban center	train	0
dozen flock new liberia ebola treatment center read	train	0
canada allow emergency use tekmira ebola treatment reuters canadian drugmaker tekmira pharmace	train	0
czar definition guy hired run disease control failing nee	train	0
airport high alert flier ebola symptom fox news video	train	0
right take chance feeling feeling cured disease would give	train	0
ebola scary disease kill amp cure good news get htt	train	0
taylor swift born day later would called really make think	train	0
interested ebola various possible treatment blog post worth reading gt	train	0
question night last night eyebrow still	train	0
new novation clinical resource guide provides education effective prevention protection	train	0
update four ebola patient discharged minister four patient undergoing treatment	train	0
free virus transmission	train	0
said rest assured catch unless patient showing symptom said would use contact tracing find peop	train	0
shaaaaaaaraaaaaap bath salt water nw hence forth prevention	train	0
read miasma history racist moral panic disease	train	0
read quartz daily brief question asked different deadlier disease ebola something airborne maybe	train	0
public ask question mean public hysteria medium pr suttle	train	0
liberian girl weeps death mother father ebola treatment center	train	0
ebola virus portion	train	0
fact person infected contagious symptom appear	train	0
recommendation testing virus disease confirming case	train	0
alert cdc admits possibility ebola airborne transmission	train	0
initiative provide valueable info ton question people knowledge	train	0
early treatment improves considerably chance surviving	train	0
asked question ebola answer start patient able survi	train	0
student recently returned research trip isolation w like symptom	train	0
people sac county monitored got back africa showing sign	train	0
pb update ebola expert say transmission ebola virus air possible via	train	0
polio vaccine experimental ebola treatment	train	0
breakthrough u regulator approves ebola drug human treatment	train	0
westchester ebola expert encourages education disease	train	0
de blasio say treatment nurse nj shameful cuomo give common sense loosens ny quarantine	train	0
know someone ebola follow hashtag learn sign	train	0
breaking individual international space station show ebola symptom white american scrap plan leave earth	train	0
know difference symptom flu enterovirus addition fever	train	0
first skeptical ebola thing might super disease going rekt world	train	0
ah see math question fuck math last time used algebra figure gas bill	train	0
gun violence flu pneumonia cancer heart disease	train	0
jamb question opposite ebola virus	train	0
say prospect containing nigeria hopeful would good thing positive sign guinea	train	0
whoa nurse may symptom day earlier thought took another commercial flight time htt	train	0
take fear disease cruise ship stuck sea bunch	train	0
ya know somehow believe cdc going high alert ebola govt sending people disease never heard u	train	0
world uganda patient ebola like sign test negative	train	0
ebola disease death sentence fashola governor babatunde fashola lagos state friday said	train	0
know ebola viral disease setting trend rumuors regarding going viral	train	0
remember specific question may call infoline press	train	0
usa fear treatment serum u ebola outbreak usa devastating ebola outbrea	train	0
like infectious disease visualisation thank sharing	train	0
pray god would mercy west africa intervene terminate deadly disease dr brantly	train	0
miasma history racist moral panic disease	train	0
state response amp prevention effort	train	0
ryt nw country lyk war diz dealy disease cal ebola	train	0
canada test patient flu like symptom ebola	train	0
nice chilly early morning recovery ride one week ago racing warm e keeping warm	train	0
except ebola killed month fear bola hit epidemic proportion	train	0
donation response fund help child lose parent disease	train	0
obama said jv disease	train	0
visualised compare infectious disease	train	0
patient canada symptom	train	0
missionary stricken ebola deserved special treatment access experimental drug expert say	train	0
unicef reached people w africa w prevention info working day amp night stop spread disease	train	0
aloe amp lobe form word ebola	train	0
new newsfeed twitter taking shape committed ecological aspect disease stopping source	train	0
u authorises canadian treatment developed military contract	train	0
time israel canada quarantine patient ebola like symptom doctor race diagnose man world	train	0
get ready ask question live call show starting p et today website	train	0
ogun writes adeboye protection ebola disease	train	0
infected patient usually contagious start showing symptom day infection	train	0
fear ebola assault kick back take sip malt disease disperse immerse amp f	train	0
outbreak journalist survived disease describes horror contracting	train	0
stuck sam admit beginning questioning sanity time let u enjoy	train	0
hey emoji yet vital question mainstream medium	train	0
transmission vector protect infection	train	0
breaking report suggest brampton civic hospital treating one patient ebola like symptom come	train	0
tkmr close getting approval treatment combat sending share http	train	0
student spent month researching liberia yale new hospital ebola like symptom	train	0
southwest memphis real question	train	0
disease expert dr paul keim explains danger virus via	train	0
please use salt warm water bath pls use soap sponge towel let dry body also drink ebola prevention	train	0
salt water prevention ebola thought people smoke weed	train	0
expanded gol elwa treatment centre largest facility history proud help	train	0
ebola virus fact risk treatment ebola virus disease ebola virus	train	0
reading disease punishes false confidence	train	0
ebola infected patient forced treatment clinic liberia thi	train	0
thing know killer disease ebola cnns dr gupta	train	0
ebola hotspot open new treatment center npr	train	0
meet center everything disease control gt	train	0
bath salt water cure prevention ebola take received several call text	train	0
bigger concern disease vanquished coming back cuz low rate	train	0
health worker flew hour reporting symptom official trying contact passenger	train	0
learn key prevention tip amp share violation	train	0
asked question ebola answer start patient able survive mor	train	0
woman survivor ebola still transmit disease	train	0
infectious disease specialist clear misconception ebola	train	0
symptom sudden onset fever weakness muscle pain headache sore throat followed vomitin diarrhea rash intern	train	0
experimental ebola therapy raise ethical question usa today	train	0
elife epidemiology mapping wild animal better disease control	train	0
epidemic liberia health system collapsing disease spread	train	0
air france plane isolated airport passenger report symptom	train	0
freak ebola freak disease much worse much common	train	0
via number person infected usually spread disease people ht	train	0
burkina faso banned special hunting bat due threat spreading ebola virus disease	train	0
powerful look treatment unit	train	0
woman lied symptom possibly get faster emt response	train	0
sick obama exposing child foreign disease	train	0
good info comparing symptom flu enterovirus	train	0
ebola question asking answered recording sort fact doomsday fiction consulted c	train	0
ten question ebola virus spanish ebola outbreak control africa	train	0
randomly get sick start google ing symptom	train	0
ebola union bank worker wear glove prevent contacting deadly disease lagos see photo pho	train	0
everything need know experimental ebola treatment zmapp mednews via	train	0
safe management patient ebola virus disease e	train	0
ebola fg withdraws approval nano silva treatment minister health prof onyebuchi chukwu	train	0
cdc said carrier pose risk symptom wash plane	train	0
ebola eff disease lnn	train	0
brampton civic hospital treating patient came africa fever ebola like symptom	train	0
cure ebola wish rite	train	0
preferential treatment two american v risking life experimenting rd world patient justified	train	0
ebola virus disease evd kill fourth doctor sierra leone dwnebolaupdate	train	0
teacher assigns partner class every class st week college	train	0
sure sure searched drawer america still find one teaspoon ebola cure west africa	train	0
patriot play itaky likesymptoms	train	0
disease cure elected president first	train	0
anyone know well visited bathroom today would question	train	0
outbreak global health authority warns spread disease international crisis	train	0
cdc quarantine station help limit introduction disease u amp prevent spread	train	0
latest sitrep pull punch saying transmission rampant	train	0
ebola deadly disease prevent today drink bath salty warm water love follower	train	0
breaking second dallas nurse infected travelled air day reported symptom	train	0
want control disease stop source bird http	train	0
early symptom ebola	train	0
patient fully recovered treatment centre guinea amp sierra leone	train	0
mr vaccine oughtta know spread slower fatal disease	train	0
ebola news question surrounding u researcg kenema sierra leone west africa u biological	train	0
compare infectious disease	train	0
dekalb board health hosted forum deadly disease fight fear fact	train	0
question bringing people infected ebola virus right	train	0
people government going start taking disease seriously may god protect u	train	0
thing know ebola nigeria infectious disease epidemiologist speaks	train	0
jackie baillie applying lamonts job struggled answering question	train	0
everything know ebola wrong scoop myth circulating viral disease	train	0
new york doctor get blood transfusion aid worker survived disease	train	0
virus survive surface object contaminated w bodily fluid may spread disease	train	0
u disease expert argues quarantine oct pm et	train	0
simple question aust devoting enough resource towards fighting instead	train	0
thetrent thing know killer disease ebola cnns dr gupta	train	0
release video nurse nina pham speaking trip bethesda md treatment	train	0
dh dozen flock new liberia ebola treatment center	train	0
obbo ebola avoided kenya far others story disease	train	0
sorry dallas nurse even called cdc boarding flight wtf thinking since symptom part problem also	train	0
american still question transmitted protect	train	0
breaking patient brampton civic hospital ontario reported ebola like symptom hospital hi	train	0
symptom ebola informed educated ignorant	train	0
u pres barack obama said premature send experimental medicine treatment ebola	train	0
fear ebola intensified late thursday	train	0
get experimental treatment ebola	train	0
blood test detect virus day exposure symptom appear w	train	0
yale doctoral student admitted yale new hospital symptom read	train	0
survived reason help others fight disease salome tell story	train	0
question answer ebola ebola hemorrhagic fever cdc	train	0
cdc new information show amber vinson may symptom early friday would include flight dallas	train	0
thing know killer disease ebola cnns dr gupta	train	0
good bad ugly disease	train	0
quarantine everyone country infectious disease specialist say time half measure	train	0
yes think saa stop flying west africa	train	0
ebola disease never catch wife husband son daughter member family mighty	train	0
bitter kola may work ebola prevention expert	train	0
virus cause fever headache sore throat symptom followed vomi via	train	0
breaking news emergency passenger symptom via	train	0
called ask mom question somehow conversation turned agreeing join family pumpkin carving tonight	train	0
sign best friend tweet eachother sitting next eachother	train	0
disease called ebola joke	train	0
inside cdc ebola war room cnn dr sanjay gupta take inside center disease control	train	0
nigeria free transmission say ebola run away usa scare p	train	0
digital health map track new ebola case real time disease tracking website developed boston childre	train	0
area intense transmission movement people shld reduced extra measure quarantine shld used	train	0
official mount sinai hospital ny city say man showed er fever symptom ebola tested negative	train	0
ron klain may infectious disease experience heard stay holiday inn express last night	train	0
unanswered question regarding new case raise concern disease	train	0
prevention far better wake neighbor try salt bath thing freeeee na ebola dey talk	train	0
secret serum called zmapp emerged primary treatment american infected ebola	train	0
nation passenger isolated jkia showing ebola like symptom test negative check kemri dr muraguri c	train	0
waiting bae quit giving silent treatment like	train	0
th doctor dy exposure sierra leone fight disease doctor die	train	0
stupid spread ebola prevention news spread god word	train	0
lagbaja ebola common	train	0
nd witness anthony fauci national institute allergy amp infectious disease director giving powerpoint presentation	train	0
max life cut short due winifred sucking question ponder far often	train	0
typically person displaying symptom ebola able infect others infected unsymptomatic pers	train	0
symptom include fever headache joint muscle pain followed vomiting diarrhea rash internal exter	train	0
looking beyond disease need even thn	train	0
answer gd question	train	0
symptom find picture	train	0
thing much competency testing come treatment prevention	train	0
one health worker patient transferred treatment	train	0
amp one might expect country near unlimited amp	train	0
thing know alternet	train	0
research reveals potential ebola treatment thomson reuters via	train	0
nigerian beware lagos state oooo another report ebola disease	train	0
hosting phone bank web chat today pm pm call ask question	train	0
scale scared concerning ebola virus	train	0
question concern ncdhhs new web page answer please retweet	train	0
disease contact die next day hiv b ebola c aid	train	0
fujifilm drug eyed possible treatment ebola virus via	train	0
stop chain transmission	train	0
geneticist talk screening disease going able able drastically reduce genetic disease	train	0
become contagious untill symptom start show evrybody need know	train	0
answer common question next ebola airborne	train	0
ontario man treated brampton hospital ebola like symptom	train	0
good news today nigeria amp senegal declared disease free u thomas duncan contact clear day	train	0
depends type question	train	0
patient ebola like symptom isolation hospital near toronto	train	0
spanish priest ebola land madrid treatment government	train	0
canada quarantine man ebola symptom	train	0
disease scarier ebola via	train	0
natural artificial yoghurt yh regular eatin gala yoghurt possible cure ebola	train	0
assures risk transmission air travel low urge caution cc ht	train	0
ebola victim dy saudi arabia man treated ebola like symptom dy saudi arabia	train	0
sign good night wake completed step	train	0
finding ebola virus list truth prevention warning	train	0
dr fauci announces vaccine clinical trial progress amp transfer nurse specialized treatment ctr	train	0
dey crazy hell nooooo slap ebola patient	train	0
flat earth society congress questioning head cdc role united state	train	0
judicial watch obama bring non american ebola victim treatment	train	0
infectious disease contagious ebola virus	train	0
congratulates senegal ending transmission	train	0
liberia declares state emergency ebola disease outbreak	train	0
ebola five undergoing test nasarawa olaoluwa folalu fear outbreak ebola virus disease	train	0
sign animated deaf interpreter nyc press conference go viral	train	0
breaking news dead hospitalised high salt consumption ebola prevention via	train	0
worried want help clear thing tweet u question day long using	train	0
ebola fear people west forgotten deal untreatable disease	train	0
thing know killer disease ebola cnns dr gupta via	train	0
handy venn diagram v symptom	train	0
spread ebola prevention news spread god word	train	0
compare infectious disease term contagiousness deadliness	train	0
husband ebola patient monitoring sign disease	train	0
start w typical symptom including muscle ache	train	0
expert caution using salt ebola treatment	train	0
ebola disease causing quite stir	train	0
woman show symptom infectious disease berlin ebola virus feared via	train	0
trust cdc ebola also bear mind thought hiv gay man disease year	train	0
graphic show difference btwn amp symptom http	train	0
medium quick tell u pres uhuru issue educate kenyan ebola symptom asking nati	train	0
lrt keep thinking ebola mysterious disease u happens serum disease death rate hmmmm	train	0
contagious disease dr luk answer question	train	0
ebola tobacco drug join duckweed plant war disease bloomberg	train	0
uhm maybe co guy busy checking muslim passenger worry carrier deadly disease	train	0
country ebola transmission conduct exit screening person international airport	train	0
answer question asked new ebola drug zmapp	train	0
symptom appear day exposure	train	0
ebola released air pls safe take bath warm water nd salt prevention better cure	train	0
educated peep go popping bathin salt water juice ebola prevention die learner	train	0
patient symptom prompt lock amarillo tx flight w nd vic	train	0
ebola virus disease update west africa august total new case ebola virus	train	0
guide distinguishing disease found	train	0
husband american patient watching sign disease	train	0
cdc review human human transmission virus	train	0
ebola canada patient returning virus stricken west africa tested disease	train	0
scary ebola reason fear united state top disease detective call ebola pain	train	0
let victim disease fly passenger could potentially knowing disease	train	0
symptom please help keep people know	train	0
australian doctor put alert sign ebola virus	train	0
lwkmd whaaaa r mad wallah form word ebola ola eba	train	0
nano silver nigeria potential ebola treatment unlikely work gtnews	train	0
u raise question safety nano silver ebola treatment sahara reporter	train	0
note treatment doctor give patient fluid oxygen keep	train	0
potential ebola treatment find backer crowd funded campaign via	train	0
smh av find riri ebola free lol riri love sleep today	train	0
spanish priest ebola fly home treatment	train	0
american doctor infected ebola say getting stronger treatment atlanta hospital	train	0
obama said early send experimental vaccine africa want disease kill	train	0
tkm ebola treatment allowed emergency use u canada govts canadian drugmaker tekmira pharmaceutical	train	0
patient kept isolation nyc mount sinai hospital tested negative virus disease cdc determi	train	0
nd nurse come emory treatment detail arrival	train	0
ebola transmission aerosol confirmed virus survives day outside infected host	train	0
well according sign fixed barrier around roadworks complete october	train	0
two american caught ebola west africa brought u treatment	train	0
bbc news growing concern air transmission ebola	train	0
question handling case u call medical swat team	train	0
breaking news dead hospitalised high salt consumption ebola prevention via	train	0
henry l niman phd transmission lagos hospital treated patrick sawyer hcw exposure	train	0
column show federal spending infectious disease like gong back	train	0
weh fenton deh jamaican medical doctor asks several question country preparedness	train	0
proof obama secure usa ebola czar illegal alien disease czar	train	0
september nigeria declared ebola virus disease free world health organisation	train	0
nope ebola airborne disease	train	0
look like nonsense person asked question could answer	train	0
tweet facebook u question get answer throughout day today	train	0
obscure biotech firm hurry ebola treatment	train	0
joint statement ontario health minister chief medical officer health preparedness virus disease	train	0
defense conceded le u time look	train	0
identify gryffindor hufflepuff serious question	train	0
response need response jamaica disease spreading far causing los	train	0
today ebola outbreak u regulator approves drug human treatment	train	0
nigerian died cancer flight via uae show sign ebola	train	0
mention one thing overrated	train	0
fear evd otherwise known ebola virus disease beginning long life	train	0
specific treatment disease yet available	train	0
ebola two lagos doctor nurse woman discharged treatment centre chukwu four	train	0
cdc creating designated treatment facility state mean civil liberty http	train	0
instead eating bitter cola n bathing salt n water ebola prevention eat word god n bathe jesus blood	train	0
information quarantined disease nyt op ed	train	0
ethicist discus get experimental treatment	train	0
good news test show yale new patient ebola like symptom	train	0
gop called austerity lack funding hurt research disease like	train	0
spread prevention measure ebola virus spread jesus cure world sin http	train	0
le afraid swine flu sars mad cow disease afraid girlfriend discovering passcode	train	0
confirms patient symptom cruise ship coast via	train	0
nigerian lady started rumour use salt water cure ebola virus disease apologised	train	0
survivor join fight deadly disease	train	0
bath salt water cure prevention ebola take via	train	0
man strange symptom ebola omg hospitalized nyc test turn negative ebola almost ebola develo	train	0
yale nh hospital patient w possible symptom per hartford courant	train	0
committee country transmission conduct exit screening intl airport seaport major land crossing	train	0
obscure biotech firm hurry ebola treatment	train	0
ebola drug zmapp raise ethical question get experimental treatment	train	0
history repeat equal access treatment time ebola stop playing game	train	0
mp question sh ebola emergency fund	train	0
pres believe point airborne transmission bodily fluid hold virus become airb	train	0
jigawa strengthens disease surveillance system following report spread ebola virus	train	0
able elbo form word ebola	train	0
prayer best prevention	train	0
elect america hating banana republic dictator whose goal third world diseased toilet amerika	train	0
monitored symptom ohio	train	0
night dallas health worker reported symptom shared plane people cdc want find	train	0
problem initial symptom mimic ache amp pain everyday oppression	train	0
administration ignored cdc outbreak prevention advice given wa time	train	0
world health org say ebola spread faster control amd might spread thru airborne transmission	train	0
anti ebola man meet survivor dreaded disease	train	0
declares ebola international health emergency death toll nears warning come u authority warn disease	train	0
second nurse flown specialized treatment via	train	0
stop hysteria yale new hospital patient test negative displaying symptom	train	0
form word ebola old able	train	0
hope become epidemic u biggest reason saying hospital capable treatment	train	0
people unable contact ebola disease expert	train	0
cdc put new webpage entitled infection prevention amp control recommendation hospitalized patient w known	train	0
great news free virus transmission	train	0
obama planning bringing patient treatment tag trending	train	0
ebola prison compound inmate death raise new question	train	0
stand elegant contrast loony think keeping ebola patient keep disease	train	0
probably obvious clarify monitoring mean take temp twice day watch symptom	train	0
know ebola even worst disease heard	train	0
confused contagious symptom present newest patient flew plane symptom big deal	train	0
speak many question cdc leave duncan incompetent hospital	train	0
published earlier today virus disease west africa first mo epidemic forward projection	train	0
find information ebola prevention quite vague	train	0
new ebola hospital overwhelmed desperately ill ebola patient come new center treatment	train	0
updated precaution taken patient brampton hospital ebola like symptom	train	0
happening amp federal ministry health holding joint press conference declare nigeria virus disease free	train	0
man caught dumping formaldehyde liberian water well causing symptom	train	0
breaking new patient reporting symptom transferred hospital two nurse infected	train	0
difference zombie amp republican nothing brain dead spreading disease	train	0
brampton civic hospital treating patient came africa fever ebola like symptom game	train	0
tkmr drugmaker closer getting approval treatment combat	train	0
coordinating w partner stem amp provide treatment west ht	train	0
today ebola outbreak jigawa strengthen disease surveillance system	train	0
patient hospitalized ebola like symptom brampton ontario	train	0
q someone able spread w day person show symptom	train	0
yale new reporting patient admited overnight symptom	train	0
man treated ebola like symptom dy saudi arabia could latest outbreak first	train	0
liberia red cross train operates dead body management team job important stopping transmission amp dignity dead	train	0
fong life collab epidemiology disease control centre currently training youth sensitisati	train	0
vinson advanced symptom though flight symptom contagious	train	0
w highly contagious disease come door every day ready respond	train	0
question people flock outbreak tweet per hour	train	0
guess white secret people give enough shit try new treatment save life fata	train	0
bio war eek treatment center ebola victim looted bloody sheet mattress stolen	train	0
look question science still struggling answer	train	0
nawazsharif nucleus status co c resigns whole status co fall apart like paradigm ik alone pak wid	train	0
unprofitable disease political economy life dy	train	0
support conservation treatment injured koala one koala hospital	train	0
cdc response unreliable life death disease political answer medical fact time replace	train	0
ebola prevention nigeria stop commercial driver carry three behind one reduce body contact	train	0
true dat ebola ph n owerri co message makin round dat shud bath wit salt n water prevention	train	0
world dozen flock new ebola treatment center	train	0
cc gt cc tweep think symptom ebola	train	0
fact symptom take time develop day day person	train	0
need mask lagbaja ebola common	train	0
africa need nuclear bombed stop disease coming like aid r fkin dumb	train	0
current set sicken people previous outbreak disease combined	train	0
ebola virus dangerous disease pls stay away pls b careful	train	0
red cross injecting people go develop symptom	train	0
jumped ebola bandwagon website promoting nonsense prevention	train	0
plain language overview common symptom know time worry	train	0
run bed available treatment facility	train	0
republican hate everybody ann coulter slam free medical treatment american patient	train	0
plan protocol place responding infectious disease outbreak	train	0
