Tweets	partition	Topics
illegal migrant scared get treatment	dev	9
brah wtf bouta get crib shot bro god	train	5
picture nepal earthquake via	train	11
rt current track legazpi could experience brunt storm surge super typhoon	train	8
earthquake tsunami alert chile let u hope keep safe country need anymore disaster	train	3
imagino que diputados senadores ya donaron sus sueldos al menos la mitad para ayudar la zona del terremoto	train	2
rt gt lt create gt lt help victim	train	0
rt thought w former colleague amp back wake cc	train	10
cyclone pam may one worst pacific history unicef	train	10
napa earthquake please take away wine	train	1
rt priorizaran restablecimiento de servicios basicos en chile tras sismo via	train	2
mostly affected area influence causing difficulty rescue process	train	0
northern california earthquake strongest year cnn cnnnorthern california earthquake strongest yearscnn	dev	1
n amp view indian medium bihar politics spotlight future unexpec	dev	5
orlando mers virus case spark question	test	6
thought go dealing aftermath hurricane	train	4
rt oh please	train	8
please share hagupit	test	8
cut many feared dead	train	5
rt todo vuelve en esa empoca no entregaron ahora no piden ayuda	train	2
rt help get disaster donate	train	10
recolectan ayudas para damnificados de terremoto en chile via apoyo rt rt rt	train	2
delhi kochi impact nepal earthquake across india	train	11
powerful earthquake strong aftershock hit nepal	train	11
rt neighbor smokin fuego stinkin house	train	5
max life cut short due winifred sucking question ponder far often	train	9
rt quick interpretation st interferogram nepal quake	train	11
rt podemos ayudar mucho conectar quienes necesiten ayuda ignoren los tt de odio e ma brillante la solida	train	2
rt people evacuated chile coastal region result major	train	3
rt democratic allocation fund punjab govts allocation per flood affectee r pm house r millio	dev	7
ok bad disease redundant pay attention really going	train	9
rt pastor kenneth team arrives nepal meeting local host pastor rongong gopal	train	11
rt cyclone hit compared monster made worse ht	train	10
singapore red cross deploy team contribute hagupit aid	dev	8
rt american caught hospital job brought disease home latest florida case htt	train	6
rt saudi question preparedness spread	dev	6
rt continuan manifestaciones en por falta de ayuda ausencia de servicios basicos	train	2
another jolt shattered district kill update	train	0
km wsw whittier alaska	train	0
rt category cyclone pam battering vanuatu mph wind	test	10
quake struck local time rip died region hit magnitude earthquake disaster area	dev	3
say prospect containing nigeria hopeful would good thing positive sign guinea	train	9
mexico hunkers odile hit coast storm packing wind km per hour make landfall	train	4
death toll landslide flooding climbed epa	train	5
rt india pakistan flood toll hit thousand still stranded	train	7
rt mud home totally collapsed medical team still unable reach far flung area hit	train	0
rt new cns video prayed yesterday victim	train	11
northern california quake way know next one via	train	1
cena familiar w others	train	3
rt imran khan visit flood affected area today	test	7
rt rt china humanitarian aid red crescent	dev	0
question deadly middle eastern virus showed indiana	train	6
kashmiri bebas laachaar due flood armyman r looking allah moron like enjoying	train	7
lt gen nasser janjua visiting victim med facility estab army	train	0
fijian soldier amp medical personnel arrived today port vila assist	test	10
saudi arabia find another mers case disease spread	train	6
rt gun violence flu pneumonia cancer heart disease	train	9
rt death toll devastating top approx injured simply horrific	train	11
news update napa ca clean continues napa california earthquake	train	1
rt nice picture super typhoon night foreground	train	8
rt report hinders aid agency amp journalist access earthquake hide	train	0
rt pm n telephoned nepalese counter part expresed deep sorrow loss humanity due earthquake nepal ht	dev	11
km wnw iquique chile saturday april utcfriday april	train	3
rt look way pak jawan holding old person much learn	test	7
rt news use philstockworld ewj spy pcg mnkd goog fb	test	3
rt let known india helping say cabinet secretary	train	11
rt new earthquake rock chile	dev	3
first case mers reported lebanon disease form coronavirus killed people saudi ara	train	6
cyclone pam leaf devastation vanuatu confirmed killed porta vila reuters report outer	train	10
photoset yahoonewsphotos monsoon trigger landslide flood india pakistan landslide	train	7
rt people died following saturday earthquake nepal official say	train	11
hit hard third treatment center	train	9
aljazeera news thousand still stranded flood hit kashmir least dead divided himalayan region	train	7
vanuatu three dog night keyboardist jimmy greenspoon dy	train	10
waiting patiently rescue flight	dev	4
rt tweeting must read emerging infectious disease solving viral mystery	train	6
believe earthquake california damage winery across napa via	train	1
rt madam gene approves	train	8
rt max wind kph expected make fifth landfall lubang bet	train	8
rt great regret extend condolence government people victim	train	11
rt new york man hospitalized ebola like symptom going africa test negative virus	train	9
dead flood wash away home nepal india monsoon flood nepal india death maroon	test	5
death toll day flooding torrential rain nepal india rise peopl	train	5
sad seeing hurricane destruction cabo	train	4
path hurricane odile destruction seen instagram hurricane odile came ashore ca	train	4
rt ebola jaunty feel good name ruined giving disease	train	9
coast guard still stranded ruby move away phl na stranded ba kayo dahil sa	train	8
porque hay que esperar que mueran inocentes para ayudar ayuden los damnificados	train	2
island hawaii hawaii september gmt	train	0
guy know bank account best way spend text give nepal	test	11
rt video tsunami siren blare chile following earthquake	test	3
minor tsunami hit japan chile quake april pm tokyo small tsunami wave hi	train	3
nepal get big earthquake video christian science monitor christian science monitorwhy nepal g	train	11
death toll earthquake reach	train	0
rt breaking strengthens super mph max sust wind per latest jtwc advisory ht	dev	8
rt heard north california earthquake hope okay lt	train	1
rt state emergency declared california earthquake jerry brown declared	train	1
aze jb rt dozen feared dead huge tropical cyclone	train	10
rt symptom please share follow	test	9
rt nepal war footing quarter population hit quake	train	11
nepal quake key information known time death toll climbed aftershock continued day	train	11
prediction ref tweet emsc saying northern mid atlantic ridge min ago	train	0
rt radar image nearing east coast samar h	train	8
la malvinas siempre argentina gracias chile x ayudarnos en su momento contra los ingleses ah lo hicieron igual	train	2
rt michael stay late	train	5
please consider helping habitat humanity rebuild nepal thank advance generosity	train	11
rt really proud indian govt amp indian air force support nepal hour grief tragedy	train	11
rt coordinating w partner stem amp provide treatment west ht	dev	9
deadly mers virus yet global emergency say disease event currently meet c trst	train	6
rt developing chile rocked powerful quake tsunami warning issued	dev	3
know probably heard kashmir flood situation right kashmir	train	7
rt people dead pray jordan	train	11
officially declares ended transmission within border	train	9
middle east respiratory syndrome mers symptom coronavirus spread saudi arabia europe cure	train	6
rt earthquake happened rt ttww happened chile	train	3
rt rt new tsa cdc post sign major airport alerting traveler mers virus	train	6
rt nepal em	train	11
hurricane odile slam mexico baja california hurricane odile leaf extensive damage home hot	test	4
rt super rt india ready provide assistance pak deal flood ravaged area pakistan occupied kashmir	train	7
jammu kashmir flood telecom service slowly restored	train	7
rt area signal may expect wind kph within next hour	train	8
rt warning issued amp major	train	3
rt everyone please pray pakistan india hit severe flood may god	train	7
dear people india worrying hurricane usa let remind day back assam huge flood care	train	5
rt lol ebola prevention measure touch corn	train	9
rt swinging blunts round sun till sun	train	5
ready see blog dealt california earthquake	train	1
rt whale usually dress whale halloween	train	5
rt micromappers launched earthquake response	train	0
quake survivor struggle food shelter death till rise almost	train	0
okie follow question suppose label	train	5
flood creates havoc uttar pradesh india village affected died thousand displaced situation bihar assam also good	train	5
see nd outbreak humanitarian access	train	3
flood fury north india dozen killed lakh affected heavy monsoon	train	5
tamilnadu cm j announces aid r crore jammu amp kashmir flood relief	train	7
hundred dead monsoon brings chaos northern india nepal	train	5
rt thinking friend amp hoping safe everyone	train	8
rt year major	train	11
nepal official say death reached least help nepal saving humanity life may god save people nepal	train	11
rt chile big bigger one awaits scientist say	test	3
cyclone pam vanuatu president say pacific island nation must start anew christian science monitor	train	10
southeast indian ridge	train	0
omit cdc answer question affirmatively drop let borne someone sneeze	train	9
let u pray together keep safe everyone might landfall early morning oh lord jessus christ	train	8
mt jamescridland radio live local earthquake hit california uk day better	train	1
hospital treated since napa earthquake	train	1
rt ebola virus disease deadly preventable get fact protect via	train	9
rt flood kashmir shown medium jammu suffered lose human n property	train	7
rt photo hurricane destruction cabo san lucas airport pretty	test	4
rt launching campaign raise awareness extend support victim flood pakistan amp	train	7
afectados por terremoto en chile protestan por falta de ayuda santiago de chile chile va	train	2
rt death toll rising dead amp hundred injured yesterday expert monitoring	train	0
rt un terremoto en chile provoca al menos cinco muertos una alerta de tsunami via	dev	2
amazes way disease termed particular region middle east respiratory syndrome ga oo	train	6
rt ap news minute fort hood shooter identified chile resident stranded earthquake news video gt	train	3
rt int l community responding see crisis flash info	train	10
rt pagasa forecaster monitor photo ben nabong rappler	train	8
rt president address heart heavy call helping hand	dev	10
rt shameless punjabi elite punjab govt refused take flood aid kpk govt still taking electrici	train	7
monsoon flood hit north india village water thousand marooned village w	train	5
overwhelming sense helplessness nepal seeping hope pick piece soon	dev	11
rt wake bae like	train	5
fin de semana de muchas canciones	dev	3
mers disease may next terrorist attack america via	train	6
week flood still stranded indian kashmir	train	7
night fever one symptom mers virus contact anyone	train	6
deadly monsoon hit india nepal	train	5
rt honour killing girl shot dead father	dev	5
long history infectious disease outbreak one concise infographic	train	9
opino juris today ebola changed rural virus urban disease became much easier disease reach epidemic level	train	9
wait snuggle ball go sleep tonight	train	5
rt message want deliver aid may easily proceed even strongest hold separatist n	train	0
rt amritsar shiromani gurdwara parbandhak committee sgpc send food relief material nepal	train	11
rt medium release pacific humanitarian team support government response devastating impact	train	10
polio vaccine experimental ebola treatment	train	9
rt major quake nepal	train	11
rt ayudar los compas del la llama solidarizar con damnificados por el terremoto del norte de chile h	train	2
amazon lanza un aparato para ver video en streaming en televisores	train	3
malayalis stranded flood hit kashmir	train	7
catastrophic damage feared tiny vanuatu category cyclone pam	train	10
establishes fund assistance relief victim	train	0
cyclone pam leaf trail destruction pacific vanuatu	test	10
ma de estudiantes viajaron la region de tarapaca para ayudar en la reconstruccion	train	2
rt ner clear evacuee zero value ticket issued needy	train	11
rt government place passenger symptom isolation waiting result deadly tropical	train	9
category storm barrel toward island tropical cyclone pam one strongest storm seen south p	dev	10
rt flood victim living photo via	dev	7
doc laptop signed cd bag incase cyclone got real bad priority	train	10
rt uk deploy chinook helicopter help supply amp people travel quickly	train	11
rt cyclone pam leaving trail devastation pacific ocean	train	10
india step relief work nepal land route operational airport get congested	train	11
aumenta seis la cifra de muertos por el terremoto en chile la causa de su fallecimiento fueron ataques ca	train	2
thought everyone chile affected earthquake x	train	3
patient like symptom quarantined	train	9
rt skateboarder using earthquake buckled street jump strong contender california photo ever	train	1
expert raise question newly revealed saudi mers case world health organization	train	6
rt expert cautiously welcome sign stepped saudi effort mers virus getty	test	6
rt still find beauty amp fun among ruin love california rt napa quake	train	1
northern california rocked magnitude earthquake fox news link removed	train	1
rt gov brown declares state emergency california due south napa	dev	1
saudi arabia report mers death call country step prevention may disease	train	6
rt unprepared happened finger crossed rain dark cloud stay	train	11
wtf philippine cameron send help	dev	8
india pakistan flood death toll reach death toll flood india pakistan reach	train	7
rt pray boko haram guy catch ebola disease	train	9
backpack jacket hat stolen car vina del mar chile car locked gone minute	train	3
rt many aftershock near today amp gotten progressively stronger latest pmedt	train	3
added video playlist hurricane odile blazed trail destruction mexico baja	train	4
family dallas patient zero thomas quarantine sunday day symptom	train	9
killed train hit tempo bihar	train	5
rt website bog approach	train	8
injured amp sick flood affectees treated medical camp via	train	7
km wsw puerto madero mexico detph km utc	train	0
rt thousand trapped least killed	test	7
kuuky frez score killed flooding nepal india home damaged kuuky frez	train	5
rt via pm located vicinity taysan batangas km south southeast tanauan b	train	8
rt many people shaken awake napa earthquake	train	1
rt sends relief good worth million rupee quake affected people	train	0
australian navy ship hmas tobruk arrives cyclone hit assist recovery effort	train	10
u confirms first case mers virus center disease control confirmed first case	train	6
mauzam bakshi stranded house b sonwar bagh srinagar near ch hotel	train	7
jesus culture rooftop	dev	3
priest miguel pajares flown spain ebola treatment nbc	train	9
support want serious talk	train	0
expected make landfall dolores eastern samar minute	train	8
rt michael brown ugly amp fat amp nigger needed put kill nigger spread disease like aid amp eb	train	9
rt chile confirma cinco muertos en el norte del pais causa del un terremoto de grados	test	2
rt world need prayer	train	3
rt one favorite go wms viewer following tc pam	train	10
rt give child trauma relief ruby	train	8
advisory watch warning kmz tropical storm odile ep ep	train	4
raw man rescued building nepal	train	11
rt typhoon may affect million people	train	8
magnitude km garm khatlon tajikistan	dev	0
rt p raghavan blog flood havoc north east india meteorological department imd still ineffective htt	train	5
rt ebola fear strike canadian hospital patient isolated following flu like symptom	dev	9
hurricane odile damaged mexico fishing farming industry medium cared	train	4
despite risk californian	train	1
rt looking help victim already working use support	train	11
rt let gooooo let gooooo pam pam pam pam	dev	10
release picture mud island formed	train	0
rt fujifilm drug eyed possible treatment ebola virus via	train	9
see people came getting killed killing locked painful	train	5
rt aware prepared	train	8
thinking photo taken trip sad think beautiful square patan	dev	11
rt potential ebola treatment find backer crowd funded campaign via	dev	9
rt nuke expert want california plant closed earthquake worry	dev	1
rt follow cnns typhoon tracker super typhoon nears philippine	dev	8
aumenta cinco la cifra de muertos por el terremoto en chile santiago de chile abr efe el gobierno ch	train	2
rt picture damage caused airport san jose del cabo taken day hurricane afp photo	dev	4
lie marina amd diamond follow follow	train	3
rt bamboo tent acquisition process	train	0
rt hurricane odile power outage still widespread los cabos dead	train	4
ahora aeropuertos de arica iquique antofagasta estan prestando servicios en forma normal lan reanuda vuelos	test	2
rt napa earthquake yesterday early morning earthquake napa valley detected	train	1
rt tur bus ofrece viajes gratuitos arica iquique antofagasta por terremoto noooo aumentemos la muertes por favor	dev	2
hope god take another month restore power everyone	train	8
argentina aportara electricidad chile ante situacion por terremoto sigue	train	2
rt pair seek help ship donation vanuatu	train	10
rt fearing family nepal earthquake thousand return isolated village	train	11
rt tsunami alert issued japan indonesia following powerful magnitude earthquake chile	train	3
death toll rise six massive magnitude coast	train	3
amigo chile hoy en especial de norte escribi pequenos consejos sobre seguros de casas auto en	dev	2
ndrrmc holding briefing tune news free tv channel watch www news ph	train	8
stranded nepal tourist return city special flight relief writ large face passenger stranded	dev	11
rt thank major	train	3
rt infectious disease specialist stagecraft amp politics	train	9
rt call made bsnl network nepal charged local call next day pti	train	11
rt much bad thing occurring around world	train	3
rt female prisoner escape massive earthquake rock chile	train	3
holy crap cabo got levelled hurricane tough see damage	train	4
rt new situation report make depressing reading transmission intense rampant increasing tak	train	9
u expert declare progress search middle east respiratory syndrome mers treatment death toll top saudi arabia	train	6
utc km nw geyser n w sr depth km	train	0
treatment u rare chance study ebola new york time	train	9
picture nepal earthquake aftermath via	train	11
nepal disaster politics	dev	11
rt thousand stranded srinagar dead worst flood year	train	7
rt crean web para busqueda de mascotas perdidas durante ultimos terremotos ayuda con un rt	dev	2
reading going yesterday west africa ebola virus disease outbreak prayer go	train	9
prayer people baja california impacted hurricane odile	test	4
rt number dead rising injured army unit helping rescue disaster operation	train	0
top story napa earthquake affect sleep see	test	1
rt india inadequate response kashmir flood stoking separatist passion region	train	7
happy salt day may god save u frm dis filthy disease called ebola	train	9
rt water released nepal flood district lakh hit	train	5
rt check loved one impacted contact state department overseas citizen service	test	4
uttarakhand government donates r crore flood hit jammu amp kashmir ndtv	train	7
chile earthquake dead several seriously injured	train	3
rt pray flood victim get enough strength get trying time	test	7
national weather service northern indiana issued flood advisory wabash county pm	train	5
rt report nd infection u climate change add infectious disease risk infect	test	6
rt resist classic j champ thumb pic	test	3
rt death toll continues rise pakistani government confirms least people killed magnitude	train	0
rt el mercurio de chile alerta de maremoto impidio restablecimiento inmediato de la electricidad	train	2
peluche frezh afectados por terremoto en chile protestan por falta de ayuda santiago de chile chile varias december peluche frezh	train	2
rescue attempt continued tuesday near epicenter weekend earthquake killed	train	11
deadly monsoon hit india nepal	dev	5
rt super typhoon look reach maximum potential intensity philippine prepare landfall amp focu	train	8
n california cleaning strongest quake year wls tv wls tvn california cleaning st	train	1
question deadly middle eastern virus showed indiana deadl	train	6
rt napa earthquake bay area major fault quiet largest quake since loma prieta	train	1
many dead nepal india flood	train	5
rt condoles loss life flood	train	7
ham alert wake chile earthquake magnitude earthquake occurred northern chile april	train	3
experimental ebola treatment ethical	train	9
rt minhaj welfare foundation appeal donation flood affected victim	dev	7
lgus start preparing typhoon	train	8
powerful hurricane ever hit baja w huge destruction amp thousand tourist vacation n cabo amp nbc cover one pix	train	4
breaking news dead hospitalised high salt consumption ebola prevention	train	9
global warming taking toll himalaya gya village ladakh india hit flash flood	train	5
picture deadly kashmir flood	train	7
wa share earthquake strike napa valley winery ass damage wine spectator	train	1
panic philippine typhoon hagupit bear nation filipino living area devastated worl	train	8
rt infographic flood	train	7
rt amp constructed repaired wash facility helped many typhoon evacuee albay	train	8
indian carrier cap fare nepal bid pull man	train	11
rt latest cdc rd dallas patient nurse traveled air showing symptom	train	9
rt selling fave guitar zoe aid flight pentecost usa fender strat dlx k firm	dev	10
rt however whenever attempt made convey message love unity divinity muslim	train	11
coachella keep safe remnant arriving soon mt death serious injury international tourist	test	4
rt material rescue relief effort today engineering task force personnel tonne dr	train	11
rt great colleague including rodrigo abd ht	test	3
water line still broken napa earthquake sinkhole found	train	1
nepal earthquake teenager rescued hour rubble hindustan time	train	11
rt anger rise flood many trapped day via	train	7
cyclone pam inappropriate sound like cyclone would sit breakfast table nice cup tea chat	train	10
rt sewa bharati organisation run swayamsevaks extended help flood hit region	train	7
congratulation pam interesting presentation vwbpe	train	10
flood ravage part india pakistan	train	7
rt se busca bruno nino de ano perdido en bellavista	dev	2
rt guise rebuilding nepal china plan colonize india expense	train	11
pakistani troop expand rescue flood hit area pakistani troop ex	dev	7
jklf chief yasin malik video seen hijacking flood relief material near lalchowk arrest	train	7
rt girl start lemonade stand help relief	train	1
rt donating royalty next week vanuatu relief	train	10
price cricket bat may go kashmir flood washed away much willow	train	7
president obama call nepal prime minister offer help recovery	train	11
st mers virus case concern infectious disease expert	train	6
rescued created non profit pls share	train	4
ride cyclone getting american premiere chicago eye new york	train	10
chile earthquake tsunami terremoto raw video youtube	test	3
mers virus symptom warning protested saudi arabia kissing camel via patrick frye	train	6
entire nation left homeless devastation island unicef describe min terror	train	10
idaho native nepal reassure relative wake earthquake	train	11
save u god save ternate malang pls	train	3
california earthquake wine country clear damage around napa authority california wine country nort	train	1
estan en nuestros corazones en nuestra oraciones	train	2
may allah keep chlileans safe fuerza chile	dev	3
least dead flood rescue boat capsizes pakistan least dead flood rescue b	train	7
disease called mers spread st time	train	6
rt glimpse destruction	train	0
primer minister modi shud appeal adani amp ambani donate generously flood victim kashmir looted country	train	7
rt ad himalayan tragedy thoughful	dev	11
video thousand dollar wine lost napa earthquake winemaker napa valley woke thousand	train	1
rt storm survival tip preparation prepared	train	8
cyclone pam cleanup get underway vanuatu picture emergency aid beginning flow pacifi	train	10
rt guide pagasa color coded rainfall advisory yellow orange red	train	8
new post jawbone look data see many woken napa earthquake	train	1
rt latest tremor revised upward prelim	train	3
rt least people reported killed nepal amp india flood day torrential rain	test	5
rt tragedy struck populated area km hour sea surge reported meter h	train	10
dead nepal india flood thousand displaced	test	5
rt miracle happen every day keep faith	train	3
rt earthquake napa earthquake power restored thousand cleanup contin	train	1
score killed flooding nepal india home b shaquille	train	5
rt cdc surprised come u disease respect international boundary cdc educating public	train	6
waking morning school death preachin	train	5
aumenta seis el numero de muertos levantan alerta de tsunami tras terremoto en chile	test	2
rt according dost project noah made landfall eastern samar	train	8
rt heartbreaking firsthand account isso nihmei devastation vanuatu	train	10
rt google released people finder data ver	train	11
hello cabo azul hurricane sustain damage	train	4
rt need true god indian defence force respect	train	11
usa today give low thought go affected read	train	1
rt anyone guide u help people time struck g	train	11
rt may god give strength family kashmir flood victim go indian army power	train	7
emergency declared massive	train	11
mass vaccination vanuatu cyclone aftermath hindu	train	10
preventing mers virus must know transmission prevention	dev	6
chile se moviliza en ayuda de los damnificados por el terremoto	test	2
rt intendente de informo que persona murieron producto de infartos tras terremoto en region de tarapaca	dev	2
stand terrorist tactic	train	0
rt judicial watch obama plan transfer ebola infected foreigner treatment	train	9
another mers case identified saudi arabia disease spread	train	6
rt vamos sumate nuestra campana htt	train	2
rt image northern california powerful earthquake struck sunday morning photo ap	test	1
dr fauci announces vaccine clinical trial progress amp transfer nurse specialized treatment ctr	train	9
flood claim life village hit toll uttar prade	train	5
many dead nepal india flood sale	dev	5
durng marathon finished yet potter madness	train	8
rt terrible sankhu km katmandu many body still rubble unstable building difficult rescue	train	11
rt storm heavy rain still expected ncr nearby province	dev	8
napa earthquake damage estimated billion	train	1
rt heartbreaking photo health worker hold baby infected treatment center monrovia h	train	9
mother seriously injured amerimed csl hospital rachel faye rogers andrade lost contact need help reaching	train	4
rt please secure pet leave caged outside let right live	train	8
rt rt necesita voluntarios para cuidar adultos mayores afectados por terremoto	train	2
ch nisar victim given special representation pm loan scheme	train	0
animo para todos en el por el tenga cuidado muchas fuerzas abrazos	train	2
respond earthquake ask way know	train	1
jklf chief yasin malik hijack rescue boat flood hit jammu kashmir kashmiri separatist leader	train	7
expected hit calapan city monday mean experience super strong wind well	train	8
walking dead scene baja odile tourist airlifted storm	test	4
rt drone eye view napa valley earthquake damage	train	1
rt special thank indian government iaf immediate help rescue work nepal humanity re	train	11
fuerza chilemos unamos nuestras oraciones para esta pobre gente	train	2
expert urge california nuclear plant closure earthquake threat former lead inspector diablo canyon	train	1
earthquake chile local time today february th devastating magnitude ear	train	3
rt want help recover quake cancel debt	test	11
fact since riding bus year get	train	5
top tt right partly cloudy nepal via	train	11
mexico begin airlift thousand stranded tourist hurricane odile	train	4
rt john oliver great explainer earthquake damage stop napa valley paper angel story predicted	train	1
die bihar flood lakh hit q done since last flood prevent devastation	test	5
remember dr said well sc add box ballot paper	train	0
new island spews methane gas expert warn people go near	train	0
nepal earthquake drone footage give bird eye view destruction wall street journal blog	train	11
great opportunity help provide clean fresh water baja	test	4
rt year old kathmandu temple turned rubble	train	11
want bad want skip senior year like double work yanno	train	5
hearth prayer go chilean people	train	3
rt flood landslide kill nepal india announces million relief fund	train	5
rt find help need magnitude earthquake chile	train	3
far often lately team pacer caliber	train	3
quake california wine country injures dozen	test	1
rt pray brother amp sister many died injured lost home earthquake day ago	train	0
typhoon hit place last year killed death already reported	train	8
quake damage spilled wine napa	train	1
rt km nw geyser california time utc	train	1
destroys historic injures many home realty today	train	1
hurricane odile cause extensive property damage mexico	train	4
rt adam filmed hardest hit turned please share	train	10
rt class suspended tomorrow please stay safe pray affected	train	8
rt typhoon sound look terrifying	train	8
napa earthquake toss wine barrel bottle pile	train	1
rt travel time estimation shown dmrs occurence utc apr	train	3
puerto rico region	test	0
besides govt army effort kashmir people rest india show solidarity amp contribute flood relief fund	train	7
rt dear express grief cyclone pam tunisia attack one tweet india brave son ia	train	10
rt lamentamos la muertes este momento luego del	train	2
quake northern california	train	0
rt imagine taking care year making sure get aid killed ebola disease ewu	train	9
score killed flooding nepal india home damaged roug	train	5
rt praying getting many earthquake please stay safe heart	test	3
rt prayer thought team	train	3
california earthquake magnitude shake thousand awake	train	1
dozen killed lakh affected india flood	train	5
military shuld drop inflatable boat instead floor idp independently mve highr plces flood	train	7
another big shake	train	0
rt huge destruction via	train	11
rt slowed km h giving time heavy rainfall potential wind gust km h	test	8
rt typhoon hagiput topples tree amp power line sweep empty street philippine coast	train	8
rt terremoto en chile	dev	3
rt army aviation reaching difficult terrain relief material	dev	11
florida usa cape coral breaking news chile earthquake powerful earthquake strike chi	train	3
cousin advice school call every time pick phone make sure put indian accent say wrong number hahahahaha	train	5
hurricane odile slam mexico baja california hurricane odile cause extensive damage home h	train	4
first case deadly middle eastern virus found center disease contro	train	6
rt international medium coverage	test	0
decinos algo mandanos fuerza tus lalitas de qe te amamos te esperamos pronto lt	train	2
rt heartbreaking people confirmed dead nepal injured	train	11
tht hw india apparently shining thru flood light see th shadow	test	5
rt another predicted earthquake soon gunna cry like escape california llama	train	1
rt know nov correct date contagiousw osymptoms	test	9
cyclone pam vanuatu percent capital city building destroyed	train	10
rt uc davis medical center confirms treating year old boy injured serious condition	dev	1
rt critically injured treated hospital magnitude earthquake california	test	1
brother sister please pray philippine typhoon hagupit cross country today may god keep u safe	train	8
news path hurricane odile destruction seen instagram	train	4
rt release video nurse nina pham speaking trip bethesda md treatment	train	9
quarantine found old testament combat spread disease leviticus amp combine faith practical wisdom	train	9
rt live first iaf aircraft land relief support india airport	train	11
issued warning following	train	3
rt load equipment amp supply sent nepal w member fairfax co urban search amp rescue team ht	train	11
northern california quake bad sign thing come earthquake jolting northern california struck mor	train	1
thanks much appreciated	train	11
quake km ssw san pedro california	train	1
rt pam amp mela hope get took minute come b	train	10
pam told dog get cocain b	train	10
list hurricane shelter baja california sur	train	4
talkback ambassador marciano paynor amp fr anton pascual papal visit committee affect	dev	8
raining god show kindness	train	11
prayer family wrecked nepal earthquake started search people earthquake click	train	11
rt know someone ebola follow hashtag learn sign	train	9
cousin said felt napa quake downtown san fran morning hope precursor big one	train	1
rt injured state emergency california hit largest quake year	train	1
rt landslide flooding kill nepal northern india	train	5
rt photo new island created pakistan deadly earthquake	test	0
rt cremation nepal losing turned heart stone chant farmer	train	11
rt aap mlas decided collectively donate r crore towards kashmir flood relief fund	train	7
rt aid til	train	4
airasia cancel flight sunday tuesday	train	8
patient symptom prompt lock amarillo tx flight w nd vic	train	9
reason visit flood situation affected death toll reached	train	5
rt put perspective dangerous typhoon need take look past storm	train	8
rt stuck mexico contact u help flight whilst inexpensive pas along	train	4
ex figure skater kim yuna donates aid victim	train	11
rt mt noaa tsunami forecast map	train	3
new post killed missing nepal landslide flood time india	train	5
bbc many dead nepal india flood	train	5
breaking cyclone devastates vanuatu financial time new york timescyclone devastates va	test	10
rt visit learn assist impacted help	train	11
rt chile navy issue tsunami warning following magnitude quake	test	3
chans latest terrible prank convincing west african ebola doctor actually worship disease	train	9
